129 594 416
0 0 594 416
0 0 37 52
0 52 37 104
0 104 37 156
0 156 37 208
0 208 37 260
0 260 37 312
0 312 37 364
0 364 37 416
37 0 74 52
37 52 74 104
37 104 74 156
37 156 74 208
37 208 74 260
37 260 74 312
37 312 74 364
37 364 74 416
74 0 111 52
74 52 111 104
74 104 111 156
74 156 111 208
74 208 111 260
74 260 111 312
74 312 111 364
74 364 111 416
111 0 148 52
111 52 148 104
111 104 148 156
111 156 148 208
111 208 148 260
111 260 148 312
111 312 148 364
111 364 148 416
148 0 185 52
148 52 185 104
148 104 185 156
148 156 185 208
148 208 185 260
148 260 185 312
148 312 185 364
148 364 185 416
185 0 222 52
185 52 222 104
185 104 222 156
185 156 222 208
185 208 222 260
185 260 222 312
185 312 222 364
185 364 222 416
222 0 259 52
222 52 259 104
222 104 259 156
222 156 259 208
222 208 259 260
222 260 259 312
222 312 259 364
222 364 259 416
259 0 296 52
259 52 296 104
259 104 296 156
259 156 296 208
259 208 296 260
259 260 296 312
259 312 296 364
259 364 296 416
296 0 333 52
296 52 333 104
296 104 333 156
296 156 333 208
296 208 333 260
296 260 333 312
296 312 333 364
296 364 333 416
333 0 370 52
333 52 370 104
333 104 370 156
333 156 370 208
333 208 370 260
333 260 370 312
333 312 370 364
333 364 370 416
370 0 407 52
370 52 407 104
370 104 407 156
370 156 407 208
370 208 407 260
370 260 407 312
370 312 407 364
370 364 407 416
407 0 444 52
407 52 444 104
407 104 444 156
407 156 444 208
407 208 444 260
407 260 444 312
407 312 444 364
407 364 444 416
444 0 481 52
444 52 481 104
444 104 481 156
444 156 481 208
444 208 481 260
444 260 481 312
444 312 481 364
444 364 481 416
481 0 518 52
481 52 518 104
481 104 518 156
481 156 518 208
481 208 518 260
481 260 518 312
481 312 518 364
481 364 518 416
518 0 555 52
518 52 555 104
518 104 555 156
518 156 555 208
518 208 555 260
518 260 555 312
518 312 555 364
518 364 555 416
555 0 592 52
555 52 592 104
555 104 592 156
555 156 592 208
555 208 592 260
555 260 592 312
555 312 592 364
555 364 592 416
