516 1189 841
0 0 1189 841
111 0 163 37
163 0 215 37
215 0 267 37
267 0 319 37
319 0 371 37
371 0 423 37
423 0 475 37
475 0 527 37
527 0 579 37
579 0 631 37
631 0 683 37
683 0 735 37
735 0 787 37
787 0 839 37
163 37 215 74
215 37 267 74
267 37 319 74
319 37 371 74
371 37 423 74
423 37 475 74
475 37 527 74
527 37 579 74
579 37 631 74
631 37 683 74
683 37 735 74
735 37 787 74
787 37 839 74
215 74 267 111
267 74 319 111
319 74 371 111
371 74 423 111
423 74 475 111
475 74 527 111
527 74 579 111
579 74 631 111
631 74 683 111
683 74 735 111
735 74 787 111
787 74 839 111
215 111 267 148
267 111 319 148
319 111 371 148
371 111 423 148
423 111 475 148
475 111 527 148
527 111 579 148
579 111 631 148
631 111 683 148
683 111 735 148
735 111 787 148
787 111 839 148
215 148 267 185
267 148 319 185
319 148 371 185
371 148 423 185
423 148 475 185
475 148 527 185
527 148 579 185
579 148 631 185
631 148 683 185
683 148 735 185
735 148 787 185
787 148 839 185
215 185 267 222
267 185 319 222
319 185 371 222
371 185 423 222
423 185 475 222
475 185 527 222
527 185 579 222
579 185 631 222
631 185 683 222
683 185 735 222
735 185 787 222
787 185 839 222
215 222 267 259
267 222 319 259
319 222 371 259
371 222 423 259
423 222 475 259
475 222 527 259
527 222 579 259
579 222 631 259
631 222 683 259
683 222 735 259
735 222 787 259
787 222 839 259
215 259 267 296
267 259 319 296
319 259 371 296
371 259 423 296
423 259 475 296
475 259 527 296
527 259 579 296
579 259 631 296
631 259 683 296
683 259 735 296
735 259 787 296
787 259 839 296
215 296 267 333
267 296 319 333
319 296 371 333
371 296 423 333
423 296 475 333
475 296 527 333
527 296 579 333
579 296 631 333
631 296 683 333
683 296 735 333
735 296 787 333
787 296 839 333
215 333 267 370
267 333 319 370
319 333 371 370
371 333 423 370
423 333 475 370
475 333 527 370
527 333 579 370
579 333 631 370
631 333 683 370
683 333 735 370
735 333 787 370
787 333 839 370
215 370 267 407
267 370 319 407
319 370 371 407
371 370 423 407
423 370 475 407
475 370 527 407
527 370 579 407
579 370 631 407
631 370 683 407
683 370 735 407
735 370 787 407
787 370 839 407
215 407 267 444
267 407 319 444
319 407 371 444
371 407 423 444
423 407 475 444
475 407 527 444
527 407 579 444
579 407 631 444
631 407 683 444
683 407 735 444
735 407 787 444
787 407 839 444
215 444 267 481
267 444 319 481
319 444 371 481
371 444 423 481
423 444 475 481
475 444 527 481
527 444 579 481
579 444 631 481
631 444 683 481
683 444 735 481
735 444 787 481
787 444 839 481
215 481 267 518
267 481 319 518
319 481 371 518
371 481 423 518
