130 420 297
0 0 420 297
0 37 26 74
0 74 26 111
0 111 26 148
0 148 26 185
0 185 26 222
0 222 26 259
0 259 26 296
26 260 52 297
52 260 78 297
78 260 104 297
104 260 130 297
130 260 156 297
156 260 182 297
182 260 208 297
208 260 234 297
234 260 260 297
260 260 286 297
286 260 312 297
312 260 338 297
338 260 364 297
364 260 390 297
390 260 416 297
26 37 52 74
26 74 52 111
26 111 52 148
26 148 52 185
26 185 52 222
26 222 52 259
52 37 78 74
52 74 78 111
52 111 78 148
52 148 78 185
52 185 78 222
52 222 78 259
78 37 104 74
78 74 104 111
78 111 104 148
78 148 104 185
78 185 104 222
78 222 104 259
104 37 130 74
104 74 130 111
104 111 130 148
104 148 130 185
104 185 130 222
104 222 130 259
130 37 156 74
130 74 156 111
130 111 156 148
130 148 156 185
130 185 156 222
130 222 156 259
156 37 182 74
156 74 182 111
156 111 182 148
156 148 182 185
156 185 182 222
156 222 182 259
182 37 208 74
182 74 208 111
182 111 208 148
182 148 208 185
182 185 208 222
182 222 208 259
208 37 234 74
208 74 234 111
208 111 234 148
208 148 234 185
208 185 234 222
208 222 234 259
0 0 26 37
26 0 52 37
52 0 78 37
78 0 104 37
104 0 130 37
130 0 156 37
156 0 182 37
182 0 208 37
208 0 234 37
234 0 271 26
234 26 271 52
234 52 271 78
234 78 271 104
234 104 271 130
234 130 271 156
234 156 271 182
234 182 271 208
234 208 271 234
234 234 271 260
271 0 308 26
271 26 308 52
271 52 308 78
271 78 308 104
271 104 308 130
271 130 308 156
271 156 308 182
271 182 308 208
271 208 308 234
271 234 308 260
308 0 345 26
308 26 345 52
308 52 345 78
308 78 345 104
308 104 345 130
308 130 345 156
308 156 345 182
308 182 345 208
308 208 345 234
308 234 345 260
345 0 382 26
345 26 382 52
345 52 382 78
345 78 382 104
345 104 382 130
345 130 382 156
345 156 382 182
345 182 382 208
345 208 382 234
345 234 382 260
382 0 419 26
382 26 419 52
382 52 419 78
382 78 419 104
382 104 419 130
382 130 419 156
382 156 419 182
382 182 419 208
382 208 419 234
382 234 419 260
