33 594 420
0 0 594 420
0 0 74 105
0 105 74 210
0 210 74 315
0 315 74 420
74 0 148 105
74 105 148 210
74 210 148 315
74 315 148 420
148 0 222 105
148 105 222 210
148 210 222 315
148 315 222 420
222 0 296 105
222 105 296 210
222 210 296 315
222 315 296 420
296 0 370 105
296 105 370 210
296 210 370 315
296 315 370 420
370 0 444 105
370 105 444 210
370 210 444 315
370 315 444 420
444 0 518 105
444 105 518 210
444 210 518 315
444 315 518 420
518 0 592 105
518 105 592 210
518 210 592 315
518 315 592 420
