259 1189 838
0 0 1189 838
0 52 74 104
0 104 74 156
0 156 74 208
0 208 74 260
0 260 74 312
0 312 74 364
0 364 74 416
0 416 74 468
0 468 74 520
0 520 74 572
0 572 74 624
0 624 74 676
0 676 74 728
0 728 74 780
0 780 74 832
74 370 148 422
74 422 148 474
74 474 148 526
74 526 148 578
74 578 148 630
74 630 148 682
74 682 148 734
74 734 148 786
74 786 148 838
148 370 222 422
148 422 222 474
148 474 222 526
148 526 222 578
148 578 222 630
148 630 222 682
148 682 222 734
148 734 222 786
148 786 222 838
222 370 296 422
222 422 296 474
222 474 296 526
222 526 296 578
222 578 296 630
222 630 296 682
222 682 296 734
222 734 296 786
222 786 296 838
296 370 370 422
296 422 370 474
296 474 370 526
296 526 370 578
296 578 370 630
296 630 370 682
296 682 370 734
296 734 370 786
296 786 370 838
370 370 444 422
370 422 444 474
370 474 444 526
370 526 444 578
370 578 444 630
370 630 444 682
370 682 444 734
370 734 444 786
370 786 444 838
444 370 518 422
444 422 518 474
444 474 518 526
444 526 518 578
444 578 518 630
444 630 518 682
444 682 518 734
444 734 518 786
444 786 518 838
518 370 592 422
518 422 592 474
518 474 592 526
518 526 592 578
518 578 592 630
518 630 592 682
518 682 592 734
518 734 592 786
518 786 592 838
592 370 666 422
592 422 666 474
592 474 666 526
592 526 666 578
592 578 666 630
592 630 666 682
592 682 666 734
592 734 666 786
592 786 666 838
666 370 740 422
666 422 740 474
666 474 740 526
666 526 740 578
666 578 740 630
666 630 740 682
666 682 740 734
666 734 740 786
666 786 740 838
740 370 814 422
740 422 814 474
740 474 814 526
740 526 814 578
740 578 814 630
740 630 814 682
740 682 814 734
740 734 814 786
740 786 814 838
814 370 888 422
814 422 888 474
814 474 888 526
814 526 888 578
814 578 888 630
814 630 888 682
814 682 888 734
814 734 888 786
814 786 888 838
888 370 962 422
888 422 962 474
888 474 962 526
888 526 962 578
888 578 962 630
888 630 962 682
888 682 962 734
888 734 962 786
888 786 962 838
962 370 1036 422
962 422 1036 474
962 474 1036 526
962 526 1036 578
962 578 1036 630
962 630 1036 682
962 682 1036 734
962 734 1036 786
962 786 1036 838
1036 370 1110 422
1036 422 1110 474
1036 474 1110 526
1036 526 1110 578
1036 578 1110 630
1036 630 1110 682
1036 682 1110 734
1036 734 1110 786
1036 786 1110 838
1110 370 1184 422
1110 422 1184 474
1110 474 1184 526
1110 526 1184 578
1110 578 1184 630
1110 630 1184 682
1110 682 1184 734
1110 734 1184 786
1110 786 1184 838
74 52 148 104
74 104 148 156
74 156 148 208
74 208 148 260
74 260 148 312
74 312 148 364
0 0 74 52
74 0 148 52
148 0 200 74
148 74 200 148
148 148 200 222
148 222 200 296
148 296 200 370
200 0 252 74
200 74 252 148
200 148 252 222
200 222 252 296
200 296 252 370
252 0 304 74
252 74 304 148
252 148 304 222
252 222 304 296
252 296 304 370
304 0 356 74
304 74 356 148
304 148 356 222
304 222 356 296
304 296 356 370
356 0 408 74
356 74 408 148
356 148 408 222
356 222 408 296
356 296 408 370
408 0 460 74
408 74 460 148
408 148 460 222
408 222 460 296
408 296 460 370
460 0 512 74
460 74 512 148
460 148 512 222
460 222 512 296
460 296 512 370
512 0 564 74
512 74 564 148
512 148 564 222
512 222 564 296
512 296 564 370
564 0 616 74
564 74 616 148
564 148 616 222
564 222 616 296
564 296 616 370
616 0 668 74
616 74 668 148
616 148 668 222
616 222 668 296
616 296 668 370
668 0 720 74
668 74 720 148
668 148 720 222
668 222 720 296
668 296 720 370
720 0 772 74
720 74 772 148
720 148 772 222
720 222 772 296
720 296 772 370
772 0 824 74
772 74 824 148
772 148 824 222
772 222 824 296
772 296 824 370
824 0 876 74
824 74 876 148
824 148 876 222
824 222 876 296
824 296 876 370
876 0 928 74
876 74 928 148
876 148 928 222
876 222 928 296
876 296 928 370
928 0 980 74
928 74 980 148
928 148 980 222
928 222 980 296
928 296 980 370
980 0 1032 74
980 74 1032 148
980 148 1032 222
980 222 1032 296
980 296 1032 370
1032 0 1084 74
1032 74 1084 148
1032 148 1084 222
1032 222 1084 296
1032 296 1084 370
1084 0 1136 74
1084 74 1136 148
1084 148 1136 222
1084 222 1136 296
1084 296 1136 370
1136 0 1188 74
1136 74 1188 148
1136 148 1188 222
1136 222 1188 296
1136 296 1188 370
