65 841 592
0 0 841 592
0 0 105 74
0 74 105 148
0 148 105 222
0 222 105 296
0 296 105 370
0 370 105 444
0 444 105 518
0 518 105 592
105 0 210 74
105 74 210 148
105 148 210 222
105 222 210 296
105 296 210 370
105 370 210 444
105 444 210 518
105 518 210 592
210 0 315 74
210 74 315 148
210 148 315 222
210 222 315 296
210 296 315 370
210 370 315 444
210 444 315 518
210 518 315 592
315 0 420 74
315 74 420 148
315 148 420 222
315 222 420 296
315 296 420 370
315 370 420 444
315 444 420 518
315 518 420 592
420 0 525 74
420 74 525 148
420 148 525 222
420 222 525 296
420 296 525 370
420 370 525 444
420 444 525 518
420 518 525 592
525 0 630 74
525 74 630 148
525 148 630 222
525 222 630 296
525 296 630 370
525 370 630 444
525 444 630 518
525 518 630 592
630 0 735 74
630 74 735 148
630 148 735 222
630 222 735 296
630 296 735 370
630 370 735 444
630 444 735 518
630 518 735 592
735 0 840 74
735 74 840 148
735 148 840 222
735 222 840 296
735 296 840 370
735 370 840 444
735 444 840 518
735 518 840 592
