33 841 592
0 0 841 592
0 0 105 148
0 148 105 296
0 296 105 444
0 444 105 592
105 0 210 148
105 148 210 296
105 296 210 444
105 444 210 592
210 0 315 148
210 148 315 296
210 296 315 444
210 444 315 592
315 0 420 148
315 148 420 296
315 296 420 444
315 444 420 592
420 0 525 148
420 148 525 296
420 296 525 444
420 444 525 592
525 0 630 148
525 148 630 296
525 296 630 444
525 444 630 592
630 0 735 148
630 148 735 296
630 296 735 444
630 444 735 592
735 0 840 148
735 148 840 296
735 296 840 444
735 444 840 592
