33 1189 840
0 0 1189 840
0 0 148 210
0 210 148 420
0 420 148 630
0 630 148 840
148 0 296 210
148 210 296 420
148 420 296 630
148 630 296 840
296 0 444 210
296 210 444 420
296 420 444 630
296 630 444 840
444 0 592 210
444 210 592 420
444 420 592 630
444 630 592 840
592 0 740 210
592 210 740 420
592 420 740 630
592 630 740 840
740 0 888 210
740 210 888 420
740 420 888 630
740 630 888 840
888 0 1036 210
888 210 1036 420
888 420 1036 630
888 630 1036 840
1036 0 1184 210
1036 210 1184 420
1036 420 1184 630
1036 630 1184 840
