259 594 419
0 0 594 419
0 26 37 52
0 52 37 78
0 78 37 104
0 104 37 130
0 130 37 156
0 156 37 182
0 182 37 208
0 208 37 234
0 234 37 260
0 260 37 286
0 286 37 312
0 312 37 338
0 338 37 364
0 364 37 390
0 390 37 416
37 185 74 211
37 211 74 237
37 237 74 263
37 263 74 289
37 289 74 315
37 315 74 341
37 341 74 367
37 367 74 393
37 393 74 419
74 185 111 211
74 211 111 237
74 237 111 263
74 263 111 289
74 289 111 315
74 315 111 341
74 341 111 367
74 367 111 393
74 393 111 419
111 185 148 211
111 211 148 237
111 237 148 263
111 263 148 289
111 289 148 315
111 315 148 341
111 341 148 367
111 367 148 393
111 393 148 419
148 185 185 211
148 211 185 237
148 237 185 263
148 263 185 289
148 289 185 315
148 315 185 341
148 341 185 367
148 367 185 393
148 393 185 419
185 185 222 211
185 211 222 237
185 237 222 263
185 263 222 289
185 289 222 315
185 315 222 341
185 341 222 367
185 367 222 393
185 393 222 419
222 185 259 211
222 211 259 237
222 237 259 263
222 263 259 289
222 289 259 315
222 315 259 341
222 341 259 367
222 367 259 393
222 393 259 419
259 185 296 211
259 211 296 237
259 237 296 263
259 263 296 289
259 289 296 315
259 315 296 341
259 341 296 367
259 367 296 393
259 393 296 419
296 185 333 211
296 211 333 237
296 237 333 263
296 263 333 289
296 289 333 315
296 315 333 341
296 341 333 367
296 367 333 393
296 393 333 419
333 185 370 211
333 211 370 237
333 237 370 263
333 263 370 289
333 289 370 315
333 315 370 341
333 341 370 367
333 367 370 393
333 393 370 419
370 185 407 211
370 211 407 237
370 237 407 263
370 263 407 289
370 289 407 315
370 315 407 341
370 341 407 367
370 367 407 393
370 393 407 419
407 185 444 211
407 211 444 237
407 237 444 263
407 263 444 289
407 289 444 315
407 315 444 341
407 341 444 367
407 367 444 393
407 393 444 419
444 185 481 211
444 211 481 237
444 237 481 263
444 263 481 289
444 289 481 315
444 315 481 341
444 341 481 367
444 367 481 393
444 393 481 419
481 185 518 211
481 211 518 237
481 237 518 263
481 263 518 289
481 289 518 315
481 315 518 341
481 341 518 367
481 367 518 393
481 393 518 419
518 185 555 211
518 211 555 237
518 237 555 263
518 263 555 289
518 289 555 315
518 315 555 341
518 341 555 367
518 367 555 393
518 393 555 419
555 185 592 211
555 211 592 237
555 237 592 263
555 263 592 289
555 289 592 315
555 315 592 341
555 341 592 367
555 367 592 393
555 393 592 419
37 26 74 52
37 52 74 78
37 78 74 104
37 104 74 130
37 130 74 156
37 156 74 182
0 0 37 26
37 0 74 26
74 0 100 37
74 37 100 74
74 74 100 111
74 111 100 148
74 148 100 185
100 0 126 37
100 37 126 74
100 74 126 111
100 111 126 148
100 148 126 185
126 0 152 37
126 37 152 74
126 74 152 111
126 111 152 148
126 148 152 185
152 0 178 37
152 37 178 74
152 74 178 111
152 111 178 148
152 148 178 185
178 0 204 37
178 37 204 74
178 74 204 111
178 111 204 148
178 148 204 185
204 0 230 37
204 37 230 74
204 74 230 111
204 111 230 148
204 148 230 185
230 0 256 37
230 37 256 74
230 74 256 111
230 111 256 148
230 148 256 185
256 0 282 37
256 37 282 74
256 74 282 111
256 111 282 148
256 148 282 185
282 0 308 37
282 37 308 74
282 74 308 111
282 111 308 148
282 148 308 185
308 0 334 37
308 37 334 74
308 74 334 111
308 111 334 148
308 148 334 185
334 0 360 37
334 37 360 74
334 74 360 111
334 111 360 148
334 148 360 185
360 0 386 37
360 37 386 74
360 74 386 111
360 111 386 148
360 148 386 185
386 0 412 37
386 37 412 74
386 74 412 111
386 111 412 148
386 148 412 185
412 0 438 37
412 37 438 74
412 74 438 111
412 111 438 148
412 148 438 185
438 0 464 37
438 37 464 74
438 74 464 111
438 111 464 148
438 148 464 185
464 0 490 37
464 37 490 74
464 74 490 111
464 111 490 148
464 148 490 185
490 0 516 37
490 37 516 74
490 74 516 111
490 111 516 148
490 148 516 185
516 0 542 37
516 37 542 74
516 74 542 111
516 111 542 148
516 148 542 185
542 0 568 37
542 37 568 74
542 74 568 111
542 111 568 148
542 148 568 185
568 0 594 37
568 37 594 74
568 74 594 111
568 111 594 148
568 148 594 185
