258 841 594
0 0 841 594
74 728 126 765
126 728 178 765
178 728 230 765
230 728 282 765
282 728 334 765
334 728 386 765
386 728 438 765
438 728 490 765
490 728 542 765
542 728 594 765
334 765 386 802
386 765 438 802
438 765 490 802
490 765 542 802
542 765 594 802
334 802 386 839
386 802 438 839
438 802 490 839
490 802 542 839
542 802 594 839
334 0 371 52
371 0 408 52
408 0 445 52
445 0 482 52
482 0 519 52
519 0 556 52
556 0 593 52
334 52 371 104
371 52 408 104
408 52 445 104
445 52 482 104
482 52 519 104
519 52 556 104
556 52 593 104
334 104 371 156
371 104 408 156
408 104 445 156
445 104 482 156
482 104 519 156
519 104 556 156
556 104 593 156
334 156 371 208
371 156 408 208
408 156 445 208
445 156 482 208
482 156 519 208
519 156 556 208
556 156 593 208
334 208 371 260
371 208 408 260
408 208 445 260
445 208 482 260
482 208 519 260
519 208 556 260
556 208 593 260
334 260 371 312
371 260 408 312
408 260 445 312
445 260 482 312
482 260 519 312
519 260 556 312
556 260 593 312
334 312 371 364
371 312 408 364
408 312 445 364
445 312 482 364
482 312 519 364
519 312 556 364
556 312 593 364
334 364 371 416
371 364 408 416
408 364 445 416
445 364 482 416
482 364 519 416
519 364 556 416
556 364 593 416
334 416 371 468
371 416 408 468
408 416 445 468
445 416 482 468
482 416 519 468
519 416 556 468
556 416 593 468
334 468 371 520
371 468 408 520
408 468 445 520
445 468 482 520
482 468 519 520
519 468 556 520
556 468 593 520
334 520 371 572
371 520 408 572
408 520 445 572
445 520 482 572
482 520 519 572
519 520 556 572
556 520 593 572
334 572 371 624
371 572 408 624
408 572 445 624
445 572 482 624
482 572 519 624
519 572 556 624
556 572 593 624
334 624 371 676
371 624 408 676
408 624 445 676
445 624 482 676
482 624 519 676
519 624 556 676
556 624 593 676
334 676 371 728
371 676 408 728
408 676 445 728
445 676 482 728
482 676 519 728
519 676 556 728
556 676 593 728
74 765 126 802
126 765 178 802
178 765 230 802
230 765 282 802
282 765 334 802
74 802 126 839
126 802 178 839
178 802 230 839
230 802 282 839
282 802 334 839
0 728 37 780
37 728 74 780
0 780 37 832
37 780 74 832
0 0 37 52
37 0 74 52
74 0 111 52
111 0 148 52
148 0 185 52
185 0 222 52
222 0 259 52
259 0 296 52
296 0 333 52
0 52 37 104
37 52 74 104
74 52 111 104
111 52 148 104
148 52 185 104
185 52 222 104
222 52 259 104
259 52 296 104
296 52 333 104
0 104 37 156
37 104 74 156
74 104 111 156
111 104 148 156
148 104 185 156
185 104 222 156
222 104 259 156
259 104 296 156
296 104 333 156
0 156 37 208
37 156 74 208
74 156 111 208
111 156 148 208
148 156 185 208
185 156 222 208
222 156 259 208
259 156 296 208
296 156 333 208
0 208 37 260
37 208 74 260
74 208 111 260
111 208 148 260
148 208 185 260
185 208 222 260
222 208 259 260
259 208 296 260
296 208 333 260
0 260 37 312
37 260 74 312
74 260 111 312
111 260 148 312
148 260 185 312
185 260 222 312
222 260 259 312
259 260 296 312
296 260 333 312
0 312 37 364
37 312 74 364
74 312 111 364
111 312 148 364
148 312 185 364
185 312 222 364
222 312 259 364
259 312 296 364
296 312 333 364
0 364 37 416
37 364 74 416
74 364 111 416
111 364 148 416
148 364 185 416
185 364 222 416
222 364 259 416
259 364 296 416
296 364 333 416
0 416 37 468
37 416 74 468
74 416 111 468
111 416 148 468
148 416 185 468
185 416 222 468
222 416 259 468
259 416 296 468
296 416 333 468
0 468 37 520
37 468 74 520
74 468 111 520
111 468 148 520
148 468 185 520
185 468 222 520
222 468 259 520
259 468 296 520
296 468 333 520
0 520 37 572
37 520 74 572
74 520 111 572
111 520 148 572
148 520 185 572
185 520 222 572
222 520 259 572
259 520 296 572
296 520 333 572
0 572 37 624
37 572 74 624
74 572 111 624
111 572 148 624
148 572 185 624
185 572 222 624
222 572 259 624
259 572 296 624
296 572 333 624
0 624 37 676
37 624 74 676
74 624 111 676
111 624 148 676
148 624 185 676
185 624 222 676
222 624 259 676
259 624 296 676
296 624 333 676
0 676 37 728
37 676 74 728
74 676 111 728
111 676 148 728
148 676 185 728
185 676 222 728
222 676 259 728
259 676 296 728
296 676 333 728
