65 297 208
0 0 297 208
0 0 37 26
0 26 37 52
0 52 37 78
0 78 37 104
0 104 37 130
0 130 37 156
0 156 37 182
0 182 37 208
37 0 74 26
37 26 74 52
37 52 74 78
37 78 74 104
37 104 74 130
37 130 74 156
37 156 74 182
37 182 74 208
74 0 111 26
74 26 111 52
74 52 111 78
74 78 111 104
74 104 111 130
74 130 111 156
74 156 111 182
74 182 111 208
111 0 148 26
111 26 148 52
111 52 148 78
111 78 148 104
111 104 148 130
111 130 148 156
111 156 148 182
111 182 148 208
148 0 185 26
148 26 185 52
148 52 185 78
148 78 185 104
148 104 185 130
148 130 185 156
148 156 185 182
148 182 185 208
185 0 222 26
185 26 222 52
185 52 222 78
185 78 222 104
185 104 222 130
185 130 222 156
185 156 222 182
185 182 222 208
222 0 259 26
222 26 259 52
222 52 259 78
222 78 259 104
222 104 259 130
222 130 259 156
222 156 259 182
222 182 259 208
259 0 296 26
259 26 296 52
259 52 296 78
259 78 296 104
259 104 296 130
259 130 296 156
259 156 296 182
259 182 296 208
