65 420 297
0 0 420 297
0 0 52 37
0 37 52 74
0 74 52 111
0 111 52 148
0 148 52 185
0 185 52 222
0 222 52 259
0 259 52 296
52 0 104 37
52 37 104 74
52 74 104 111
52 111 104 148
52 148 104 185
52 185 104 222
52 222 104 259
52 259 104 296
104 0 156 37
104 37 156 74
104 74 156 111
104 111 156 148
104 148 156 185
104 185 156 222
104 222 156 259
104 259 156 296
156 0 208 37
156 37 208 74
156 74 208 111
156 111 208 148
156 148 208 185
156 185 208 222
156 222 208 259
156 259 208 296
208 0 260 37
208 37 260 74
208 74 260 111
208 111 260 148
208 148 260 185
208 185 260 222
208 222 260 259
208 259 260 296
260 0 312 37
260 37 312 74
260 74 312 111
260 111 312 148
260 148 312 185
260 185 312 222
260 222 312 259
260 259 312 296
312 0 364 37
312 37 364 74
312 74 364 111
312 111 364 148
312 148 364 185
312 185 364 222
312 222 364 259
312 259 364 296
364 0 416 37
364 37 416 74
364 74 416 111
364 111 416 148
364 148 416 185
364 185 416 222
364 222 416 259
364 259 416 296
