130 841 594
0 0 841 594
0 74 52 148
0 148 52 222
0 222 52 296
0 296 52 370
0 370 52 444
0 444 52 518
0 518 52 592
52 520 104 594
104 520 156 594
156 520 208 594
208 520 260 594
260 520 312 594
312 520 364 594
364 520 416 594
416 520 468 594
468 520 520 594
520 520 572 594
572 520 624 594
624 520 676 594
676 520 728 594
728 520 780 594
780 520 832 594
52 74 104 148
52 148 104 222
52 222 104 296
52 296 104 370
52 370 104 444
52 444 104 518
104 74 156 148
104 148 156 222
104 222 156 296
104 296 156 370
104 370 156 444
104 444 156 518
156 74 208 148
156 148 208 222
156 222 208 296
156 296 208 370
156 370 208 444
156 444 208 518
208 74 260 148
208 148 260 222
208 222 260 296
208 296 260 370
208 370 260 444
208 444 260 518
260 74 312 148
260 148 312 222
260 222 312 296
260 296 312 370
260 370 312 444
260 444 312 518
312 74 364 148
312 148 364 222
312 222 364 296
312 296 364 370
312 370 364 444
312 444 364 518
364 74 416 148
364 148 416 222
364 222 416 296
364 296 416 370
364 370 416 444
364 444 416 518
416 74 468 148
416 148 468 222
416 222 468 296
416 296 468 370
416 370 468 444
416 444 468 518
0 0 52 74
52 0 104 74
104 0 156 74
156 0 208 74
208 0 260 74
260 0 312 74
312 0 364 74
364 0 416 74
416 0 468 74
468 0 542 52
468 52 542 104
468 104 542 156
468 156 542 208
468 208 542 260
468 260 542 312
468 312 542 364
468 364 542 416
468 416 542 468
468 468 542 520
542 0 616 52
542 52 616 104
542 104 616 156
542 156 616 208
542 208 616 260
542 260 616 312
542 312 616 364
542 364 616 416
542 416 616 468
542 468 616 520
616 0 690 52
616 52 690 104
616 104 690 156
616 156 690 208
616 208 690 260
616 260 690 312
616 312 690 364
616 364 690 416
616 416 690 468
616 468 690 520
690 0 764 52
690 52 764 104
690 104 764 156
690 156 764 208
690 208 764 260
690 260 764 312
690 312 764 364
690 364 764 416
690 416 764 468
690 468 764 520
764 0 838 52
764 52 838 104
764 104 838 156
764 156 838 208
764 208 838 260
764 260 838 312
764 312 838 364
764 364 838 416
764 416 838 468
764 468 838 520
