129 1189 840
0 0 1189 840
0 0 74 105
0 105 74 210
0 210 74 315
0 315 74 420
0 420 74 525
0 525 74 630
0 630 74 735
0 735 74 840
74 0 148 105
74 105 148 210
74 210 148 315
74 315 148 420
74 420 148 525
74 525 148 630
74 630 148 735
74 735 148 840
148 0 222 105
148 105 222 210
148 210 222 315
148 315 222 420
148 420 222 525
148 525 222 630
148 630 222 735
148 735 222 840
222 0 296 105
222 105 296 210
222 210 296 315
222 315 296 420
222 420 296 525
222 525 296 630
222 630 296 735
222 735 296 840
296 0 370 105
296 105 370 210
296 210 370 315
296 315 370 420
296 420 370 525
296 525 370 630
296 630 370 735
296 735 370 840
370 0 444 105
370 105 444 210
370 210 444 315
370 315 444 420
370 420 444 525
370 525 444 630
370 630 444 735
370 735 444 840
444 0 518 105
444 105 518 210
444 210 518 315
444 315 518 420
444 420 518 525
444 525 518 630
444 630 518 735
444 735 518 840
518 0 592 105
518 105 592 210
518 210 592 315
518 315 592 420
518 420 592 525
518 525 592 630
518 630 592 735
518 735 592 840
592 0 666 105
592 105 666 210
592 210 666 315
592 315 666 420
592 420 666 525
592 525 666 630
592 630 666 735
592 735 666 840
666 0 740 105
666 105 740 210
666 210 740 315
666 315 740 420
666 420 740 525
666 525 740 630
666 630 740 735
666 735 740 840
740 0 814 105
740 105 814 210
740 210 814 315
740 315 814 420
740 420 814 525
740 525 814 630
740 630 814 735
740 735 814 840
814 0 888 105
814 105 888 210
814 210 888 315
814 315 888 420
814 420 888 525
814 525 888 630
814 630 888 735
814 735 888 840
888 0 962 105
888 105 962 210
888 210 962 315
888 315 962 420
888 420 962 525
888 525 962 630
888 630 962 735
888 735 962 840
962 0 1036 105
962 105 1036 210
962 210 1036 315
962 315 1036 420
962 420 1036 525
962 525 1036 630
962 630 1036 735
962 735 1036 840
1036 0 1110 105
1036 105 1110 210
1036 210 1110 315
1036 315 1110 420
1036 420 1110 525
1036 525 1110 630
1036 630 1110 735
1036 735 1110 840
1110 0 1184 105
1110 105 1184 210
1110 210 1184 315
1110 315 1184 420
1110 420 1184 525
1110 525 1184 630
1110 630 1184 735
1110 735 1184 840
