65 594 416
0 0 594 416
0 0 74 52
0 52 74 104
0 104 74 156
0 156 74 208
0 208 74 260
0 260 74 312
0 312 74 364
0 364 74 416
74 0 148 52
74 52 148 104
74 104 148 156
74 156 148 208
74 208 148 260
74 260 148 312
74 312 148 364
74 364 148 416
148 0 222 52
148 52 222 104
148 104 222 156
148 156 222 208
148 208 222 260
148 260 222 312
148 312 222 364
148 364 222 416
222 0 296 52
222 52 296 104
222 104 296 156
222 156 296 208
222 208 296 260
222 260 296 312
222 312 296 364
222 364 296 416
296 0 370 52
296 52 370 104
296 104 370 156
296 156 370 208
296 208 370 260
296 260 370 312
296 312 370 364
296 364 370 416
370 0 444 52
370 52 444 104
370 104 444 156
370 156 444 208
370 208 444 260
370 260 444 312
370 312 444 364
370 364 444 416
444 0 518 52
444 52 518 104
444 104 518 156
444 156 518 208
444 208 518 260
444 260 518 312
444 312 518 364
444 364 518 416
518 0 592 52
518 52 592 104
518 104 592 156
518 156 592 208
518 208 592 260
518 260 592 312
518 312 592 364
518 364 592 416
